pso_options_c1,pso_options_c2,pso_options_w,pso_n_particles,pso_iter,origin_time,pso_time,origin_score,pso_score
0.0,0.8,1.9,120,50,4.5228393999999525,9.64242420000005,0.5528441667556763,0.32715508341789246
0.0,0.8,1.9,120,75,4.4412150000000565,9.620985399999995,0.5528441667556763,0.32555171847343445
0.0,1.6,0.4,20,50,4.089622399999939,9.491644500000007,0.5528441667556763,0.3705022931098938
0.0,1.6,0.4,20,75,4.104158900000016,9.463403399999947,0.5528441667556763,0.3567715585231781
0.0,1.6,0.4,70,50,4.075429699999972,9.494118500000013,0.5528441667556763,0.38197627663612366
0.0,1.6,0.4,70,75,4.115653100000031,9.474705900000004,0.5528441667556763,0.32715508341789246
0.0,1.6,0.4,120,50,4.120623500000079,9.446125299999949,0.5528441667556763,0.32715508341789246
0.0,1.6,0.4,120,75,4.084420499999965,9.492213600000014,0.5528441667556763,0.3256196081638336
0.0,1.6,0.9,20,50,4.135807399999976,9.450209800000039,0.5528441667556763,0.4206659197807312
0.0,1.6,0.9,20,75,4.105548399999975,9.435184899999967,0.5528441667556763,0.3234420120716095
0.0,1.6,0.9,70,50,4.099339099999952,9.470229500000073,0.5528441667556763,0.3477468490600586
0.0,1.6,0.9,70,75,4.096756000000028,9.433932900000059,0.5528441667556763,0.3256196081638336
0.0,1.6,0.9,120,50,4.0690550000000485,9.444036300000107,0.5528441667556763,0.5528441667556763
0.0,1.6,0.9,120,75,4.084135100000026,9.483284700000013,0.5528441667556763,0.38197627663612366
0.0,1.6,1.4,20,50,4.074953100000016,9.460970100000054,0.5528441667556763,0.33232757449150085
0.0,1.6,1.4,20,75,4.004949500000066,9.469483800000035,0.5528441667556763,0.3705022931098938
0.0,1.6,1.4,70,50,3.9980942999999343,9.556686100000093,0.5528441667556763,0.3705022931098938
0.0,1.6,1.4,70,75,4.085118599999987,9.47675460000005,0.5528441667556763,0.3705022931098938
0.0,1.6,1.4,120,50,4.061914000000002,9.483378500000072,0.5528441667556763,0.35162118077278137
0.0,1.6,1.4,120,75,4.169478400000003,9.606026100000008,0.5528441667556763,0.38447704911231995
0.0,1.6,1.9,20,50,4.123374699999999,9.437831200000005,0.5528441667556763,0.3282504677772522
0.0,1.6,1.9,20,75,4.077480299999934,9.53794270000003,0.5528441667556763,0.30288389325141907
0.0,1.6,1.9,70,50,4.085889899999984,9.471071800000004,0.5528441667556763,0.43719571828842163
0.0,1.6,1.9,70,75,4.087519500000099,9.501476199999956,0.5528441667556763,0.32715508341789246
